rank	node_id	label	in_degree
1057	56654965	null	6632
1058	94006487	null	6621
1059	15835572	MeXBT.com	6612
1060	14611211	null	6608
1061	34863516	null	6596
1062	75610533	null	6596
1063	127279298	null	6592
1064	9297773	null	6588
1065	124083286	null	6575
1066	29632462	null	6574
1067	15507352	Genesis-Mining.com	6556
1068	35865682	null	6550
1069	8576653	null	6544
1070	121892318	null	6541
1071	21267553	null	6524
1072	54671264	null	6518
1073	87981540	null	6516
1074	26609023	null	6514
1075	114064420	null	6514
1076	1963733	null	6513
1077	102285630	null	6513
1078	92012164	null	6512
1079	100021616	null	6509
1080	26113540	null	6506
1081	33100603	null	6499
1082	79727750	null	6494
1083	44207947	null	6491
1084	135792139	null	6484
1085	3650286	null	6477
1086	34863455	null	6476
1087	20560435	null	6473
1088	8538399	null	6472
1089	23688113	null	6453
1090	10179714	null	6438
1091	69572507	null	6432
1092	7749130	null	6431
1093	852837	null	6427
1094	19976171	null	6419
1095	117801627	null	6419
1096	30872940	null	6405
1097	18348268	null	6398
1098	38799187	null	6381
1099	2108032	OrderBook.net	6378
1100	22249597	null	6348
1101	65212603	null	6332
1102	28596065	null	6331
1103	4404945	null	6307
1104	8795380	null	6292
1105	13407972	null	6287
1106	135926841	null	6284
1107	31566713	null	6265
1108	106297723	null	6245
1109	15194723	null	6227
1110	38918883	null	6226
1111	87402319	null	6220
1112	67828757	null	6219
1113	15763979	null	6217
1114	131237779	null	6216
1115	71738127	null	6185
1116	105438998	null	6175
1117	26661641	DoctorDMarket	6174
1118	87733512	null	6165
1119	87733513	null	6165
1120	87733514	null	6165
1121	87733511	null	6164
1122	22818819	null	6163
1123	87733505	null	6163
1124	87733507	null	6163
1125	87733508	null	6163
1126	87733509	null	6163
1127	87733510	null	6163
1128	87733506	null	6162
1129	120455345	null	6157
1130	39609721	null	6153
1131	4110526	null	6150
1132	99507252	null	6145
1133	32957843	null	6144
1134	5759103	null	6138
1135	17393504	null	6137
1136	120841313	null	6136
1137	12560051	null	6135
1138	102474046	null	6131
1139	10388077	null	6127
1140	6782842	null	6117
1141	55180182	null	6106
1142	87417753	null	6100
1143	105799507	null	6097
1144	78344885	null	6090
1145	79397352	null	6090
1146	17425663	null	6082
1147	40135625	null	6077
1148	120622345	null	6066
1149	121090708	null	6059
1150	87881099	null	6057
1151	41210717	null	6042
1152	9080388	null	6036
1153	117350675	null	6028
1154	59006045	null	6022
1155	88382115	null	6020
1156	48096698	null	6005
1157	118855950	null	5999
1158	92506533	null	5998
