rank	node_id	address	label	in_degree
244	3523985	1dice2xkjAAiphomEJA5NoowpuJ18HT1s	SatoshiDice	33755
245	18165949	1bonesUhqtbLAGKWZuawCzsYqmYWEgPwH	BitZillions.com	33725
246	3552405	1dice3jkpTvevsohA4Np1yP4uKzG1SRLv	SatoshiDice	33518
247	3521428	1dice9wVtrKZTBbAZqz1XiTmboYyvpD3t	SatoshiDice	33393
248	43263598	1NtHN8Tx7MSGZ3XNx5iyNSRqsmQVnb3Ab6	null	33288
249	155524809	1MFXYK1XucKFfhPhW9HDHD3vsM9BKey4qm	Poloniex.com	33054
250	267739680	38uYndMai8gnUwZNGBaMgnjeVke2qwVDsG	null	32900
251	18697908	1F1tAaz5x1HUXrCNLbtMDqcw6o5GNn4xqX	null	32892
252	248507144	1NSc6zAdG2NGbjPLQwAjAuqjHSoq5KECT7	null	32706
253	58567692	162TNgGyWgKw45MQyHNMjMhxLCMSjez5hZ	null	32645
254	15998222	1Bet56kWEpCq8ugG9tqAkLNXqaAQ4eUALp	BetcoinDice.tm	32330
255	85475442	1M8hxwYNvWnHkxUjFiF8Y829ni9NXkx3gA	null	32300
256	152205528	1bonesL3Cvs29sQFduReeMmmCtiFyi6Sn	BitZillions.com	32300
257	31483090	12siUUdXeyJvE1s6vbMQ31Zh4dDaXLe2eh	null	32241
258	18165734	1bones2wX8sqGHcuXeKPzHgZegtL2dnGC	BitZillions.com	32180
259	18165685	1bones2foMuSFG5dr4x6N8k5hDyPTs8fu	BitZillions.com	32057
260	130081323	12rZSinGggJhojmZsnRFWfQus5DKkLaitx	null	32018
261	66179578	3LrLWTSdd69oZVVQ6dtWaAAaBLn7N3rRjz	Xapo.com	31834
262	66179455	372QHtyJvHaTyqWUdKSTYoMydwkhDc79FR	Xapo.com	31757
263	66179512	3Pei4hHgGpXQAJFremyy3yNREcLzvBvh4E	Xapo.com	31739
264	102402548	1BJJsDpMow5dfM6s6fJhGcdtjoygBFUk66	null	31634
265	66179549	39QNJSgQg5JnBXAtbF8ezkDn72VqWdPZPJ	Xapo.com	31613
266	66178095	3GEaT8ZRXELcjMSFvGro6eZcC5S1LSLZuN	Xapo.com	31585
267	66179471	3QkXtcSWJA9w77eCujnMBKDWFe7F7zwxTg	Xapo.com	31549
268	66178330	3CgQeSxqroG8obuiMwFQpZCzSBuhW4FDAP	Xapo.com	31548
269	66179604	3NSAY3HF6Afd4KyEoYUiQdkJFLfr4E7ubj	Xapo.com	31531
270	66179585	3Pwp5u7PwgrMw3gAAyLAkDKYKRrFuFkneG	Xapo.com	31510
271	66179488	3Q5Z56QaBoyetUR627RzR38jPBXyQp8Pz9	Xapo.com	31508
272	66178184	3HCufpyqXEtHjbdMU9RMWBXzupr4VRUPMR	Xapo.com	31504
273	70248394	3P4C7jpF1oxHgxqt4VgMRcCBEV3YEpaDUm	null	31480
274	66179571	3LMnJjz1RJjNZ1uFNhBvcwQdEp5T2rnFg9	Xapo.com	31466
275	66179558	3731QcRZTXqdEpjXVjyf9T8zXeSAqZt6Ms	Xapo.com	31438
276	185643109	3PUuiYu5cFMsagkffArrKZzQFtWdHttU3x	null	31397
277	66178201	35NGMkxEZrhBp2awh7RCfFYFsXhREFReJC	Xapo.com	31377
278	66179531	3Eab4nDg6WJ5WR1uvWQirtMzWaA34RQk9s	Xapo.com	31375
279	66179594	35DVAzDtZDKAU94kFT9sxoscnuLCTxgwYc	Xapo.com	31372
280	66178344	37WSkANPVUQ8uuktf8hv671CejRtBtQ4tJ	Xapo.com	31318
281	66179494	3CswTd6V8V2uv24P9yWHpPnFiLfN4CABgW	Xapo.com	31309
282	66179572	3PbacVZwS2L5i9C2Cmz9rPu8s4qjyYkufk	Xapo.com	31279
283	66179576	3L9qAGBQLbXkFAB2GpijnJXPScSVjuiJio	Xapo.com	31279
284	58882370	1NBZfj4sYms45XL84dzymdLjvh8rtfcfa3	null	31262
285	66179614	3NpXibj6WvpAuHh6nWHRTygGEJYRVnPPH2	Xapo.com	31247
286	66179534	37PMVmY2NzTK3zVQLwVXsyfV4QPEJWYejG	Xapo.com	31243
287	178576333	1QBe6pHHZdsFRH6dxYZEUx5HCUbA2xKmhm	BTC-e.com	31235
288	66179053	3Nc4cS58WAbY9W4eTq5Y5rxwHaSC8CTCfL	Xapo.com	31230
289	66179617	32rtYF8jL4RAfm1sCW8LDj2TcfKGvdVQW6	Xapo.com	31223
290	66178161	35zBvZd46TjSmPx7aUWo58GxNJ52RDoN74	Xapo.com	31214
291	175328307	1M6LdycNZJkjdYm8wLiCBi3gzNwcZPkvDX	null	31206
292	66179450	37vQmmLfThGCumry9nAapvtdbYc9gVmaa5	Xapo.com	31199
293	66179449	3FxNPjJmcQsw5czeheoLMub7sveWW1BNFK	Xapo.com	31194
294	66178198	32XUXaJftyDXMqkQt81GJmwCP513SohC1W	Xapo.com	31181
295	3524166	1dice37EemX64oHssTreXEFT3DXtZxVXK	SatoshiDice	31172
296	66179001	3BTN4ZPKZnGJEGSVe9zPe4bTn8Qh39jkbd	Xapo.com	31159
297	66179530	3GpGgT3sFxcBtt6JZRG3Kn7N4JfmsszXy6	Xapo.com	31150
298	66179473	34UQSm2tUn7pnxAJiv7f4M6mjk51nhfeGA	Xapo.com	31138
299	66179525	39Dp7MnmMn4Au7emMPm6z6TJvVzJWeAinu	Xapo.com	31134
