rank	node_id	label	out_degree
1009	29459809	null	3168
1010	11941783	null	3167
1011	26229737	null	3159
1012	38345591	null	3158
1013	103407904	null	3153
1014	56765345	null	3150
1015	79727750	null	3150
1016	82212835	null	3149
1017	23228481	null	3147
1018	36184269	null	3145
1019	77846926	null	3141
1020	8599648	null	3139
1021	82024638	null	3136
1022	9606868	null	3132
1023	121124193	null	3132
1024	35747256	null	3121
1025	85419068	null	3121
1026	8640589	null	3120
1027	92054270	null	3120
1028	26674004	SwCPoker.eu	3118
1029	56228702	null	3109
1030	82024633	null	3109
1031	25137001	null	3107
1032	21911441	null	3104
1033	17951806	null	3101
1034	56535699	null	3101
1035	26409292	HitBtc.com	3100
1036	95324351	null	3100
1037	81670825	null	3089
1038	16468285	null	3085
1039	48158085	null	3085
1040	81779286	null	3081
1041	6073667	null	3075
1042	6076741	null	3075
1043	7441493	null	3075
1044	117317464	null	3074
1045	22620205	null	3067
1046	26121477	Vaultoro.com	3064
1047	13760044	AllCrypt.com	3061
1048	62336093	null	3061
1049	42382663	null	3059
1050	32304123	null	3055
1051	31048742	null	3054
1052	21852057	null	3053
1053	101703060	null	3053
1054	9123362	null	3052
1055	73018792	null	3052
1056	17104064	null	3049
1057	106207627	null	3046
1058	58674235	null	3045
1059	23582878	null	3044
1060	8694608	Huobi.com	3040
1061	15631115	null	3040
1062	65787800	null	3038
1063	66071824	null	3029
1064	41210717	null	3021
1065	71113111	null	3021
1066	57300714	null	3020
1067	66779428	null	3003
1068	50900029	null	3001
1069	59520790	null	3000
1070	63092212	null	2997
1071	34478220	null	2992
1072	14464760	null	2986
1073	10907700	null	2981
1074	87614472	null	2981
1075	125354966	null	2980
1076	133356187	null	2974
1077	39973915	null	2972
1078	103165977	null	2966
1079	138262956	null	2964
1080	63176299	null	2962
1081	55473869	null	2957
1082	106353143	null	2956
1083	44032669	null	2947
1084	132951927	null	2941
1085	77308720	null	2938
1086	18132557	null	2936
1087	36751743	null	2935
1088	12439038	null	2933
1089	99828351	null	2933
1090	80800573	null	2921
1091	87843258	null	2913
1092	36043735	null	2905
1093	57328143	null	2905
